ID,이름,속성,설명*,속성 효과(식당 or 가구. 동일한 속성일시),속성 효과(모두,미니게임 필요,필요 아이템,해제 평점,해제 필요 기념품,레시피 구매 가격,판매 가격,제작 시간(second),강화 필요 아이템
FOOD23,아이스크림 크레페,빈티지,부드러운 크레페 속 시원한 아이스크림의 만남,가격 10% 증가,가격 15% 증가,x,,12600,,45000,2800,198,
FOOD24,고등어 초밥,내추럴,신선한 고등어가 올라간 정통 초밥,가격 10% 증가,가격 15% 증가,x,GOTCHA97,15000,,50000,2900,216,GOTCHA105
FOOD25,딸기 빙수,트로피컬,달콤하고 상큼한 딸기를 듬뿍 얹은 시원한 빙수,가격 10% 증가,가격 15% 증가,x,,16500,,55000,3000,234,
FOOD26,초콜렛 프라푸치노,럭셔리,진한 초콜릿이 가득한 달콤하고 시원한 음료,가격 10% 증가,가격 15% 증가,x,,17775,,60000,3300,252,
FOOD27,오일 파스타,모던,올리브 오일과 마늘로 맛을 낸 심플하고 담백한 파스타,가격 10% 증가,가격 15% 증가,x,,18900,,65000,3400,270,
FOOD28,버섯 전골,전통적,다양한 버섯의 풍미가 어우러진 따뜻하고 건강한 전골,가격 10% 증가,가격 15% 증가,o,GOTCHA98,21500,,75000,3500,288,GOTCHA108
FOOD29,카레 라이스,전통적,진한 향신료의 맛이 살아있는 부드러운 일본식 카레,가격 10% 증가,가격 15% 증가,o,GOTCHA99,24750,,85000,3800,306,GOTCHA108
FOOD30,딸기 컵케이크,코지,딸기향이 가득한 크림이 올라간 작고 귀여운 컵케이크,가격 10% 증가,가격 15% 증가,x,,28350,,90000,3900,324,
FOOD31,페퍼로니 피자,모던,짭짤한 페퍼로니와 쭉 늘어나는 치즈가 가득한 인기 피자,가격 10% 증가,가격 15% 증가,x,,36800,,95000,4000,342,
FOOD32,버섯 호박찜,내추럴,부드러운 호박과 버섯이 어우러진 따뜻한 건강 요리,가격 10% 증가,가격 15% 증가,o,GOTCHA100,47000,,110000,4300,360,GOTCHA105
FOOD33,소프트 콘,빈티지,달콤하고 부드러운 소프트 아이스크림이 올라간 콘 아이스크림,가격 10% 증가,가격 15% 증가,x,,58000,,115000,4400,375,
FOOD34,판다 쿠키,코지,판다 모양으로 구운 달콤하고 귀여운 쿠키,가격 10% 증가,가격 15% 증가,x,,78000,,120000,4500,390,
FOOD35,크로아상,럭셔리,겉바속촉의 정석 버터향 가득한 프랑스 대표 빵,가격 10% 증가,가격 15% 증가,x,,87000,,140000,5500,405,
FOOD36,판다 크레페,코지,판다 얼굴이 그려진 부드럽고 달콤한 크레페,가격 10% 증가,가격 15% 증가,o,GOTCHA101,93050,,150000,5900,420,GOTCHA111
FOOD37,초콜릿,럭셔리,부드럽고 진한 풍미가 가득한 클래식한 초콜릿,가격 10% 증가,가격 15% 증가,x,,105750,,155000,6400,450,
FOOD38,생크림 크로아상,트로피컬,부드러운 생크림이 듬뿍 채워진 달콤한 크로아상,가격 10% 증가,가격 15% 증가,x,,130500,,180000,6600,460,
FOOD39,알록달록 사탕,모던,색색깔의 달콤함이 입안 가득 퍼지는 예쁜 사탕,가격 10% 증가,가격 15% 증가,x,,158625,,190000,6800,480,
FOOD40,햄 샌드위치,빈티지,담백한 햄과 신선한 채소가 어우러진 간편한 식사,가격 10% 증가,가격 15% 증가,o,GOTCHA102,195750,,200000,7300,500,GOTCHA107
FOOD41,생크림 케이크,럭셔리,부드러운 생크림이 듬뿍 올라간 달콤한 케이크의 정석,가격 10% 증가,가격 15% 증가,o,GOTCHA103,220500,,220000,7500,520,GOTCHA110
FOOD42,파인애플 탕후루,트로피컬,상큼한 파인애플에 달콤한 설탕옷을 입힌 특별한 디저트,가격 10% 증가,가격 15% 증가,x,,258625,,230000,7700,540,
FOOD43,새우 피자,모던,탱글탱글한 새우가 듬뿍 올라간 고급스러운 피자,가격 10% 증가,가격 15% 증가,o,GOTCHA104,315700,,250000,8200,580,GOTCHA106
