ID,이름,속성,설명*,미니게임 필요,필요 아이템,해제 평점,해제 필요 기념품,레시피 구매 가격,lv.1 판매 가격,lv.1제작 시간(second),lv.2 강화 최소 평점,lv.2 강화 필요 아이템,lv.2 강화 필요 아이템 개수,lv.2 강화 필요 조건,lv.2 강화 가격,lv.2 판매 가격,lv.2제작 시간(second),속성 효과(식당 or 가구. 동일한 속성일시),속성 효과(모두
FOOD12,연어 회,럭셔리,신선한 연어 본연의 풍미를 느낄 수 있는 프리미엄 요리,x,,130,,6000,800,22,750,레시피 강화 스크롤 (럭셔리),1,,20000,9500,16,가격 10% 증가,가격 15% 증가
FOOD13,팬 케이크,코지,부드럽고 폭신하게 구워낸 달콤한 팬 케이크,x,,150,,7500,1000,24,800,레시피 강화 스크롤 (코지),1,,30000,11000,30,가격 10% 증가,가격 15% 증가
FOOD14,라멘,전통적,진한 국물과 쫄깃한 면발이 어우러진 일본식 국수,o,GOTCHA93,160,,8000,1100,26,850,레시피 강화 스크롤 (전통적),1,,35000,13000,34,가격 10% 증가,가격 15% 증가
FOOD15,아메리카노,모던,진한 커피향과 깔끔한 맛이 돋보이는 대표 커피 음료,x,,200,,9000,1300,30,1000,레시피 강화 스크롤 (모던),1,,40000,15000,38,가격 10% 증가,가격 15% 증가
FOOD16,김치 볶음밥,빈티지,매콤한 김치로 볶아낸 한국식 볶음밥의 정석,x,,210,,9500,1350,34,1050,레시피 강화 스크롤 (빈티지),1,,45000,17000,42,가격 10% 증가,가격 15% 증가
FOOD17,딸기 탕후루,트로피컬,달콤한 설탕 옷을 입힌 딸기의 바삭하고 달콤한 맛,x,,220,,10000,1400,38,1100,레시피 강화 스크롤 (트로피컬),1,,50000,19000,46,가격 10% 증가,가격 15% 증가
FOOD18,토마토 파스타,모던,상큼한 토마토 소스가 듬뿍 들어간 정통 이탈리아식 파스타,x,,250,,15000,1600,42,1200,레시피 강화 스크롤 (모던),1,,55000,20000,50,가격 10% 증가,가격 15% 증가
FOOD19,컵라면,빈티지,빠르고 간편하게 즐길 수 있는 누구나 사랑하는 라면,x,,290,,20000,1700,46,1300,레시피 강화 스크롤 (빈티지),1,,60000,24000,54,가격 10% 증가,가격 15% 증가
FOOD20,망고 빙수,트로피컬,달콤한 망고가 듬뿍 올라간 시원한 여름 디저트,x,,320,,30000,2300,50,1350,레시피 강화 스크롤 (트로피컬),1,,65000,29000,60,가격 10% 증가,가격 15% 증가
FOOD21,먹물 파스타,럭셔리,오징어 먹물로 맛과 비주얼을 모두 잡은 특별한 파스타,x,,360,,35000,2400,54,1400,레시피 강화 스크롤 (럭셔리),1,,75000,32000,66,가격 10% 증가,가격 15% 증가
FOOD22,과일 푸딩,코지,상큼한 과일이 가득 들어간 부드럽고 달콤한 푸딩,x,,400,,40000,2500,60,1450,레시피 강화 스크롤 (코지),1,,85000,36500,72,가격 10% 증가,가격 15% 증가
FOOD23,아이스크림 크레페,빈티지,부드러운 크레페 속 시원한 아이스크림의 만남,x,,500,,45000,2800,66,1500,레시피 강화 스크롤 (빈티지),1,,90000,40500,78,가격 10% 증가,가격 15% 증가
FOOD24,고등어 초밥,내추럴,신선한 고등어가 올라간 정통 초밥,x,,520,,50000,2900,72,1600,레시피 강화 스크롤 (내추럴),1,,95000,49500,84,가격 10% 증가,가격 15% 증가
FOOD25,딸기 빙수,트로피컬,달콤하고 상큼한 딸기를 듬뿍 얹은 시원한 빙수,x,,540,,55000,3000,78,1650,레시피 강화 스크롤 (트로피컬),1,,110000,55000,90,가격 10% 증가,가격 15% 증가
FOOD26,초콜렛 프라푸치노,럭셔리,진한 초콜릿이 가득한 달콤하고 시원한 음료,x,,590,,60000,3300,84,1750,레시피 강화 스크롤 (럭셔리),1,,115000,60000,96,가격 10% 증가,가격 15% 증가
FOOD27,오일 파스타,모던,올리브 오일과 마늘로 맛을 낸 심플하고 담백한 파스타,x,,620,,65000,3400,90,1800,레시피 강화 스크롤 (모던),1,,120000,64000,102,가격 10% 증가,가격 15% 증가
FOOD28,버섯 전골,전통적,다양한 버섯의 풍미가 어우러진 따뜻하고 건강한 전골,o,GOTCHA94,650,,75000,3500,96,1850,레시피 강화 스크롤 (전통적),1,,140000,68000,108,가격 10% 증가,가격 15% 증가
FOOD29,카레 라이스,전통적,진한 향신료의 맛이 살아있는 부드러운 일본식 카레,x,,750,,85000,3800,102,1900,레시피 강화 스크롤 (전통적),1,,150000,71000,114,가격 10% 증가,가격 15% 증가
FOOD30,딸기 컵케이크,코지,딸기향이 가득한 크림이 올라간 작고 귀여운 컵케이크,x,,800,,90000,3900,108,1950,레시피 강화 스크롤 (코지),1,,155000,75600,120,가격 10% 증가,가격 15% 증가
FOOD31,페퍼로니 피자,모던,짭짤한 페퍼로니와 쭉 늘어나는 치즈가 가득한 인기 피자,x,,850,,95000,4000,114,2100,레시피 강화 스크롤 (모던),1,,180000,80000,125,가격 10% 증가,가격 15% 증가
FOOD32,버섯 호박찜,내추럴,부드러운 호박과 버섯이 어우러진 따뜻한 건강 요리,x,,1000,,110000,4300,120,2000,레시피 강화 스크롤 (내추럴),1,,190000,84000,130,가격 10% 증가,가격 15% 증가
FOOD33,소프트 콘,빈티지,달콤하고 부드러운 소프트 아이스크림이 올라간 콘 아이스크림,,,1050,,115000,4400,125,2500,레시피 강화 스크롤 (빈티지),1,,200000,9100,135,가격 10% 증가,가격 15% 증가
FOOD34,판다 쿠키,코지,판다 모양으로 구운 달콤하고 귀여운 쿠키,,,1100,,120000,4500,130,2700,레시피 강화 스크롤 (코지),1,,220000,9300,140,가격 10% 증가,가격 15% 증가
FOOD35,크로아상,럭셔리,겉바속촉의 정석 버터향 가득한 프랑스 대표 빵,,,1200,,140000,5500,135,2800,레시피 강화 스크롤 (럭셔리),1,,230000,9500,150,가격 10% 증가,가격 15% 증가
FOOD36,판다 크레페,코지,판다 얼굴이 그려진 부드럽고 달콤한 크레페,,,1300,,150000,5900,140,3000,레시피 강화 스크롤 (코지),1,,250000,10000,160,가격 10% 증가,가격 15% 증가
FOOD37,초콜릿,럭셔리,부드럽고 진한 풍미가 가득한 클래식한 초콜릿,,,1350,,155000,6400,150,3500,레시피 강화 스크롤 (럭셔리),1,,280000,10800,170,가격 10% 증가,가격 15% 증가
FOOD38,생크림 크로아상,트로피컬,부드러운 생크림이 듬뿍 채워진 달콤한 크로아상,,,1400,,180000,6600,160,4000,레시피 강화 스크롤 (트로피컬),1,,300000,11500,180,가격 10% 증가,가격 15% 증가
FOOD39,알록달록 사탕,모던,색색깔의 달콤함이 입안 가득 퍼지는 예쁜 사탕,,,1450,,190000,6800,170,4500,레시피 강화 스크롤 (모던),1,,330000,12600,190,가격 10% 증가,가격 15% 증가
FOOD40,햄 샌드위치,빈티지,담백한 햄과 신선한 채소가 어우러진 간편한 식사,,,1500,,200000,7300,180,5000,레시피 강화 스크롤 (빈티지),1,,360000,13600,200,가격 10% 증가,가격 15% 증가
FOOD41,생크림 케이크,럭셔리,부드러운 생크림이 듬뿍 올라간 달콤한 케이크의 정석,,,1600,,220000,7500,190,5500,레시피 강화 스크롤 (럭셔리),1,,390000,14600,210,가격 10% 증가,가격 15% 증가
FOOD42,파인애플 탕후루,트로피컬,상큼한 파인애플에 달콤한 설탕옷을 입힌 특별한 디저트,,,1650,,230000,7700,200,6000,레시피 강화 스크롤 (트로피컬),1,,450000,16000,220,가격 10% 증가,가격 15% 증가
FOOD43,새우 피자,모던,탱글탱글한 새우가 듬뿍 올라간 고급스러운 피자,,,1750,,250000,8200,210,7000,레시피 강화 스크롤 (모던),1,,500000,18000,225,가격 10% 증가,가격 15% 증가
