ID,이름,카테고리,설명,이동속도,주문 대기열 시간s (초과시 즉시 짜증내며 떠남),음식 대기열 시간s (초과시 즉시 짜증내며 떠남),손님 예민도(가게 만족도 반영),등장 요리,주문 요리(방문횟수 100),주문 요리(방문횟수 200),주문 요리(방문횟수 300),주문 요리(방문횟수 400),주문 요리(방문횟수 500),등장 최소 평점,등장 필요 가구,등장 필요 기념품,역할,손님 타입,추후 업데이트용_선호 설비(설비가 갖춰지면 금액을 지불하고 사용한다.)
CUSTOMER23,테디,유니크,멋쟁이 리본 곰돌이. 귀여운 자신을 뽐내는 일을 즐긴다.,6,30,30,무난한 손님,FOOD23,FOOD26,FOOD30,FOOD34,FOOD38,FOOD42,450,,GOTCHA101,손님,CustomerType07,
CUSTOMER24,루루,유니크,채식주의자 고양이. 삼색이와 원수 관계로 매일 싸운다.,6,30,30,무난한 손님,FOOD24,FOOD27,FOOD31,FOOD35,FOOD39,FOOD43,,,,손님,CustomerType07,
CUSTOMER25,로키,유니크,가을 여우. 사실 갈색 털을 가진 여우인데 빨간색으로 털 염색을 했다.,6,25,25,예민한 손님,FOOD25,FOOD28,FOOD32,FOOD36,FOOD40,,500,,GOTCHA98,손님,CustomerType02,
CUSTOMER26,카우리,유니크,요리사 젖소. 같은 젖소인 밀키와 함께 살고 있다.,6,30,30,무난한 손님,FOOD26,FOOD29,FOOD33,FOOD37,FOOD41,,,,,손님,CustomerType03,
CUSTOMER27,루피,유니크,공포영화 마니아. 오컬트와 악마에 대해 관심이 많다.,6,20,20,초예민 손님,FOOD27,FOOD30,FOOD34,FOOD38,FOOD42,,,,,손님,CustomerType02,
CUSTOMER28,헨리,유니크,건강미 넘치는 닭. 뜨거운 해에 자신의 털을 그을리는 취미가 있다.,6,30,30,무난한 손님,FOOD28,FOOD31,FOOD35,FOOD39,FOOD43,,700,,,손님,CustomerType02,
CUSTOMER29,버디,유니크,동물구조견. 힘을 많이 쓰는 만큼 밥을 많이 먹는다.,6,30,30,무난한 손님,FOOD29,FOOD32,FOOD36,FOOD40,,,,,,손님,CustomerType05,
CUSTOMER30,펭구,유니크,여행을 좋아하는 용감한 아델리. 용기를 빼면 시체만 남는다.,6,25,25,예민한 손님,FOOD30,FOOD33,FOOD37,FOOD41,,,950,,GOTCHA100,손님,CustomerType03,
CUSTOMER31,디어리,유니크,빨간 사슴. 멋진 가짜 뿔은 나무로 만들어졌다.,6,25,25,예민한 손님,FOOD31,FOOD34,FOOD38,FOOD42,,,,,,손님,CustomerType01,
CUSTOMER32,구피,유니크,옆 가게 빵집 사자. 구피가 만든 빵은 전부 발톱 자국이 찍혀있다.,6,30,30,무난한 손님,FOOD32,FOOD35,FOOD39,FOOD43,,,,,,손님,CustomerType01,
CUSTOMER33,바 ,유니크,산에서 내려온 양. 가게 음식을 맛보고는 풀 뜯는 생활을 접고 가게 단골이 되었다.,6,25,25,예민한 손님,FOOD33,FOOD36,FOOD40,,,,1200,,,손님,CustomerType01,
CUSTOMER34,브레드리,베이커,구피 빵집의 마스코트. 귀에는 달달한 팥앙금이 들어있다.,6,30,30,무난한 손님,FOOD34,FOOD37,FOOD41,,,,,,,손님,CustomerType01,
CUSTOMER35,베리캣,베이커,딸기 무스 고양이. 딸기로 귀를 만들어 맛과 귀여움을 더했다.,6,25,25,예민한 손님,FOOD35,FOOD38,FOOD42,,,,,,,손님,CustomerType01,
CUSTOMER36,코니,베이커,아이스크림 여우. 바닐라맛 아이스크림에 시나몬이 뿌려져있다.,6,25,25,예민한 손님,FOOD36,FOOD39,FOOD43,,,,,,,손님,CustomerType04,
CUSTOMER37,베리밀,베이커,딸기우유 젖소. 화학 성분이 없는 딸기 100% 젖소이다.,6,30,30,무난한 손님,FOOD37,FOOD40,,,,,,,,손님,CustomerType04,
CUSTOMER38,캐롯,베이커,당근 토끼. 동물들 중 가장 향이 강하며 어린 동물에게 인기가 없다.,6,25,25,예민한 손님,FOOD38,FOOD41,,,,,,,,손님,CustomerType02,
CUSTOMER39,멜로디,베이커,딸기 닭. 곁에 있으면 딸기 향이 물신 풍긴다. 맛은 없다.,6,30,30,무난한 손님,FOOD39,FOOD42,,,,,,,,손님,CustomerType02,
CUSTOMER40,타키,베이커,타코야끼 강아지. 머리의 가쓰오부시는 멋내기 용도이다,6,30,30,무난한 손님,FOOD40,FOOD43,,,,,2000,,,손님,CustomerType01,
CUSTOMER41,모찌,베이커,찰떡 아이스 펭귄. 녹지 않기 위해 매일 얼음을 먹으며 애쓴다.,6,20,20,초예민 손님,FOOD41,,,,,,,,,손님,CustomerType01,
CUSTOMER42,버티,베이커,팬케이크 사슴. 여름엔 버터가 녹아 풍미가 깊어진다.,6,25,25,예민한 손님,FOOD42,,,,,,,,,손님,CustomerType03,
CUSTOMER43,글레이즈,베이커,도넛 사자. 소중한 갈기를 매일 녹인 설탕으로 코팅한다.,6,25,25,예민한 손님,FOOD43,,,,,,,,,손님,CustomerType01,
CUSTOMER44,코튼,베이커,솜사탕 양. 솜사탕처럼 달콤한 향이 난다. 한입 물면 털 맛이 난다.,6,20,20,초예민 손님,,,,,,,2800,,,손님,CustomerType06,
CUSTOMER45,애플베어,애플,,6,30,30,무난한 손님,,,,,,,3500,,,손님,CustomerType01,
CUSTOMER46,애플켓,애플,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER47,애플폭스,애플,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER48,애플카우,애플,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER49,애플버니,애플,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER50,애플칙,애플,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType02,
CUSTOMER51,애플도그,애플,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType08,
CUSTOMER52,애플팽,애플,,6,30,30,무난한 손님,,,,,,,5000,,,손님,CustomerType03,
CUSTOMER53,애플디어,애플,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType08,
CUSTOMER54,애플메인,애플,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType03,
CUSTOMER55,애플리스,애플,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER56,스티치,코튼,인형마을 곰돌이. 배를 누르면 사랑한다고 고백 공격을 해버린다.,6,30,30,무난한 손님,,,,,,,10000,,,손님,CustomerType01,
CUSTOMER57,펠티,코튼,인형마을 고양이. 얼마 전 단짝인 생선 인형을 잃어버렸다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER58,위플,코튼,인형마을 여우. 몸통보다 귀 부분에 더 많은 솜이 들어있어 더 푹신하다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER59,패치우,코튼,인형마을 젖소.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER60,플러피,코튼,인형마을 토끼. 폭신한 코가 치명적이게 귀엽다.,6,25,25,예민한 손님,,,,,,,15000,,,손님,CustomerType01,
CUSTOMER61,칙스,코튼,인형마을 닭. 날개가 달렸지만 내용물이 솜이라 날지는 못 한다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType07,
CUSTOMER62,패치,코튼,인형마을 개. 인형이라 이빨이 없어 뼈다귀는 먹지 못 한다.,6,30,30,무난한 손님,,,,,,,20000,,,손님,CustomerType03,
CUSTOMER63,팁탭,코튼,인형마을 새. 자신이 펭귄이라는 착각 속에서 살고 있다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType02,
CUSTOMER64,블링크,코튼,인형마을 사슴. 뿔은 가짜가 아닌 진짜이다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType03,
CUSTOMER65,펠트리온,코튼,인형마을 사자. 한 번 깨물면 푹신한 녹차맛이 날 것 같다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType08,
CUSTOMER66,램비,코튼,인형마을 양. 몸통에서 초콜릿 향이 진동한다.,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType03,
CUSTOMER67,푸디베어,푸디,,6,30,30,무난한 손님,,,,,,,30000,,,손님,CustomerType01,
CUSTOMER68,푸디캣,푸디,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER69,푸디폭스,푸디,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER70,푸디카우,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER71,푸디버니,푸디,,6,25,25,예민한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER72,푸디칙,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER73,푸디도그,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType01,
CUSTOMER74,푸디팽,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType03,
CUSTOMER75,루디어,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType08,
CUSTOMER76,푸디오,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType03,
CUSTOMER77,푸램,푸디,,6,30,30,무난한 손님,,,,,,,,,,손님,CustomerType03,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,손님 특수효과 타입표,,,,,,,,,,,,,
,,,,,,CustomerType01,,5%확률로 음식 가격x2 지불,,,,,,,,,,,
,,,,,,CustomerType02,,5%확률로 음식 가격x3 지불,,,,,,,,,,,
,,,,,,CustomerType03,,5%확률로 음식 가격x5 지불,,,,,,,,,,,
,,,,,,CustomerType04,,5%확률로 음식 2번 주문,,,,,,,,,,,
,,,,,,CustomerType05,,10%확률로 음식 2번 주문,,,,,,,,,,,
,,,,,,CustomerType06,,20%확률로 음식 2번 주문,,,,,,,,,,,
,,,,,,CustomerType07,,5%확률로 음식 3번 주문,,,,,,,,,,,
,,,,,,CustomerType08,,10%확률로 음식 3번 주문,,,,,,,,,,,
,,,,,,CustomerType09,,음식은 주문하지 않는다. 20초 동안 터치하면 1번 터치마다 (400코인)을 지불,,,,,,,,,,,
,,,,,,CustomerType10,,음식은 주문하지 않는다. 20초 동안 터치하면 1번 터치마다 (1500코인)을 지불,,,,,,,,,,,
,,,,,,CustomerType11,,음식은 주문하지 않는다. 가게에 있는 손님들이 지불하고 간 코인을 훔친다.,,,,,,,,,,,
,,,,,,CustomerType12,,음식은 주문하지 않는다. 가게 가운데로 위치하여 고성방가로 손님들을 불쾌하게 만든다.,,,,,,,,,,,
